Contract Address,Arbitrage Profit (USD),Arbitrage Volume (USD)
0x8f44e22ac221cc25a46289d1c307d4f34a4dd6c2,5741249.357,9253846.633
0x9e9346e082d445f08fab1758984a31648c89241a,2114383.24,7789423.874
0x553eea17185e5ae6bb72f9528a4c3fc1a844b859,1268150.302,6485947.103
0xc34349fbedd527215aae19b2e4626254ec29a13d,1262516.598,68810679.29
0x6b58007b960016b2f559dbfd809ac4dcb1febdfe,821175.1458,4000063.407
0x0000008878718d1fef2f99de1febd03c6c09f4d3,799200.5437,4589289.041
0x00000000d3baaa99a7e09ad0cd6efa987484064f,709176.1762,19465973.47
0xd234ca832efbd43819dcc96e25d0586d4e5d976f,627137.6745,2221447.024
0xbe69dde0a051e72e18871be52cf506e419058f11,512442.5971,2939217.849
0xbe19c3010005f4e0d520d071e01862926f969d6f,505296.9827,13508921.59
0x98d54bbf1fa3e74c2ace039d1127dccfb713b63d,468888.4035,1607006.148
0x0562bddeea599185cb5ba025875aa4e7c0295428,453395.1149,909169.9504
0x85973bf86010baad75d198cefd37491d5749a68c,452599.6406,1031992.005
0x6d660980b00c3405c2dec173cf2259b15572b9b5,430593.1874,1641103.902
0xe9d70204a5984b01253856180e79257d1d458489,348236.051,1442021.084
0xd5c0d0c6ab2fd857f909915268961e8916229269,344545.6923,585611.1015
0xac9df97f9cd7a5f66913d107cddd00f40ac9ab4c,327114.6252,1552159.598
0x3557947b653d8a90a68e2690d3bd120682bee447,325523.8682,1844523.939
0xddcae987e87f3ce55d8d25362eb11a77480cb7c6,320164.7253,1767099.969
0x3773e380e06c6ec156116f77021862c45c6022bb,308672.3345,1456287.6
0x0000008682fa8c3aa14b11894e90e3dcbbff715b,298429.5757,1056832.613
0xf23125cddce9c66c2b151bb85798acfa5663ae38,297596.886,1028634.345
0x565b52e14acd804d4e405e2b8c8bcd7f044e9ade,288499.5998,1778424.043
0x428d1f7bbc4d8618a60c81202dbe933b9b632926,283814.8576,726461.873
0x0000009076d16e15bb69d35f4717e9d4268efc7b,227329.6948,668848.5584
0x79ce474afe4909d07426dabec44afb2d9f5d4cb1,221399.8537,426771.0722
0x76a45fbe7cd2ebf32459401eea870d17e50c2107,205787.6713,576168.4117
0x00000060bb1e57e3f1af1102f68db9fc2ee489bc,180452.5441,805175.1814
0x0000005bccf3765153fd0000a49700da0c2f6500,166058.724,274414.05
0x0000000f20b778d2424e95120652e2d40d8f5aac,157865.3348,488273.8333
0xc21b472e150669a9e20a1233cad67eced2851ec5,155465.6716,686735.2116
0x305d6b86c9758f81a18d22105655313cc58e1a9f,152658.0813,790022.166
0x00000000174b0ba12b89da994258020837ad8818,151339.188,424495.8771
0x52ca1cb9fc6fbd1cfe5630e74de8738b517a367a,147858.0367,1005403.254
0x37cfb095007b9801bb048a2c6ea77872cd8d1907,147373.996,681900.3411
0x0000007370af0000ad00be0efd2f1eb6e6e9d700,139209.603,455541.8089
0x000000004b5ad44f70781462233d177d32d993f1,133477.9441,444405.8345
0x000000591f843e0bcd61a4a7442ee722248d23a5,125018.337,489818.8257
0x00000007d259e6b322766529ac387b53a1584724,122164.561,478265.7172
0x51364292c0e7fd6ec3d1356eee3bcbaf64b31ba4,120497.5797,838973.7257
0x0906d9bf9f55760f4d0fc4432c7d10ad9ffc48b7,116131.1205,326728.5653
0x9fb274561770fd8a96af69f82492f815cc5b3817,115562.0292,154452.8186
0x78695c62d060f9f514de007f9079277c0e31029c,108372.8247,594766.3317
0x0000000009cb38fb8a1bbb8ada23c8261118f019,107029.3536,659640.7483
0x0000000000e43e0c383403dd18066ff60d5003b3,101874.1204,695707.9723
0x6c90145c3a786e3f636953e865cd0ffa54c65f92,101176.9075,369258.0582
0xed40e7c2a8155ac71aa9a1ab4e96117554519c2d,95096.87699,300764.7695
0xf7eb3779328e91a4bf7423ef79538101fe9bb546,91240.63682,129131.4888
0x4a259cf517662ce82937017e67c93465106049bd,86558.36529,453842.5193
0xe696006202e747cc5f8b486b4f66547dad28f8c5,79152.34848,305832.4145
0x110b2b128a9ed1be5ef3232d8e4e41640df5c2cd,77148.19276,3020010.872
0xc26a75ce8c75aa59cccf6bc3e75df42041257fc1,75368.92513,352165.6561
0x847236b8c34259a9bed67dcc1647cffba8fc01d4,73113.46665,133956.7563
0xf2a0aaecaeef1a00d1eb6178fb30de5695519abf,69899.12443,402235.8837
0x6cbff25cb77b20af6a5c4b0cfbe70da9ec93e75d,68585.40591,159714.1109
0x5ab04ab1757ff729ab63872f0c89c66911e7fbb5,68528.42667,265425.78
0xc8bea9387557e0540f30bf1583fb8cfc53c00897,65071.92463,312122.1906
0x44c4d56cfe67f8357df15f0fdc8660d5ae75a2a9,62210.2826,311543.2893
0x1244ab4e8ca11dee3c4ef871d8a78afd9d0c2128,56899.53758,297347.7217
0xc74270fa27a27c15682b7ab59c7a43364536d4a7,54372.0387,327660.2125
0xe28eed44ada0591e5b29b33731390e23b102b515,53682.13808,133706.5835
0x73133e73d79096a7c2b0ab9458121576f315268d,50708.98493,104152.5915
0x6cf266157f268b8a32ee5f0df10a43a944d2fb10,48802.5644,111801.7613
0x67d9abbb354977dcb57589312fa246551c9a9f52,43922.76317,108103.9345
0x000000000000660def84e69995117c0176ba446e,42828.5096,229660.015
0xd1eb1934e55ac9dd4d76e3f8a63f84eabd5fdd1f,42073.21895,291233.4046
0xff193b6c2d40b61613064205b63543f41827255f,41984.42939,296045.531
0x5f135cecfcb255cd7df3b4ae957065130d3a0ad3,40985.22303,305497.6504
0x7439d03206db2006c69d7b9545fbbb5349945796,40573.32531,115438.2882
0x7358b8f966f17a2097c26d2219a2308b8d3e7c70,40113.64834,544608.5921
0xf80d365817e21652b0d17383aa792c1111b8939e,38700.74004,80849.07737
0x30890a0bf1036071085726fdb9c48362e689aacc,37564.98997,71870.5172
0xdac3d422753959e85418ba0662168207f150446f,37052.30779,118531.0384
0xcc8b749ef4438810dbb2c581c0c88167a351dc26,34630.42912,116549.8262
0x96110733067782ff8e4450b33a86924da21239da,34038.49053,82702.14484
0x000000dce08f643423c0bec02b0799e37f076781,33231.13927,105370.1779
0x000000090629d24e9ebbd5bb2a714f21ecd6ed9a,32198.02595,88785.07825
0x81e7c20cc78e045d18eaa33c9fd6c3ff96a54118,30570.51285,179593.178
0x815b2ad3c669df996fc55a9472ad251312476898,29968.84872,77154.02903
0x00000046cab147bd2928609ed674344843bb55d8,29855.16229,126186.8369
0xc6ccae10c4ce08ec0f604645ffd0daa3a6c9307a,28806.96058,97438.73433
0x8d7473636b0332439fe5562e9b1a344a33651e29,28405.4057,128230.3002
0x0000000765306855601b70d930ac579b23a18d44,28044.96129,85562.87908
0x58391ba63cac08abd47b5cb98b283d1fe121b2de,27653.95159,217688.7099
0x92cb5c37e637258a4a4b032eb2f8d56367537337,26191.01869,35819.63024
0x862cb7bb8cef3e6a60ee6d1c3698f629fff1c9b2,26163.63777,162903.3997
0x0000000dc0cc877153e7e93870ad2a3382e99ca0,25814.88631,92331.91855
0x000000000000fd461ca2d54e8f4b3e37749df921,25712.46717,138380.386
0xfd41d9907b4b7fc34e7b9c72afbe1207fc34be02,25162.53619,93686.23855
0x7ec5385d28868155b22da4c8bb5ad7ea2036104f,23381.09667,238514.6246
0x3c631f85786e8f6809f8e76dea9e94066840a1ba,23247.91336,109891.2325
0x6b4c15f528d8114abfbb64122f906146305af320,23106.3628,59801.6449
0x6af9ea7293a4fdafec5792344632f58fd0ff4eb7,22567.24905,293264.3313
0x0000000059d817f75c0157b2ae2b3298c9cfab42,22138.75629,222957.6036
0x68c8b825c61caac53642375be43ef60605c92bea,20177.22554,44775.31692
0x8a5da9047000225c0b2db2849c899a4b7de40449,18422.03854,39494.10388
0x2e0dd51b0e9683db5778f91a829a445413f9f176,18136.94568,77000.88576
0xfd597eaa0b6e895904e8c1bf88ea79187f3ec38d,16778.76749,110291.2731
0x0a355ade8a8f4b785b229b5a764c29be24cda44f,16009.44543,93035.99582
0x660d970081b263fe291d113a020f05060a3a6712,15660.69146,99770.54606
0xf91ec352a2a54ac97889b592b25dfd7630a0cd4b,15244.92913,52201.94588
0x316ee9942fea227280c9f70ca292e01bf1c92ccc,15241.53153,48592.5948
0x1429f31ce86a8f9490dd2178b88e7647db3ed0c9,14675.58444,43783.36244
0x375a52f73b254fe528b3a15cc4ea2b7db4427530,14536.78679,105592.554
0x6558d901c0737631b078ec468a5a8c1182d09b21,13778.76366,37904.88629
0xe9ef637dc02980d883320b5e458ff6f432a78618,13349.20144,48942.92799
0x906b7e8c4fd8ae6e8112797f15fc4253073c2b4d,11665.24474,44465.14219
0x024a6affb1861a8549c9d6117bfe370d3b4f38b7,11485.73792,108720.814
0x5651f73b1587a9daaccf362c7e5d2ca169650a80,11176.7797,48565.97183
0xd050e0a4838d74769228b49dff97241b4ef3805d,10973.40395,31367.53274
0x2d0df1bf97f26b59709abfdac6854ef4530fe8fa,10732.04221,30832.26183
0x87c4ac0002488426c5d38c122f9630d0adaa48d1,10695.4258,34317.05594
