Seller Address,Buyer Address,Volume of Trades (USD)
0xd73e0def01246b650d8a367a4b209be59c8be8ab,0xa53496b67eec749ac41b4666d63228a0fb0409cf,2521103989
0xa53496b67eec749ac41b4666d63228a0fb0409cf,0xd73e0def01246b650d8a367a4b209be59c8be8ab,2517046075
0xf6764f702650eb66b2bd7368e2fef7133a8f4f80,0x718a085f6d45a955395881bceff30ec97ffb1013,982077056.8
0x718a085f6d45a955395881bceff30ec97ffb1013,0xf6764f702650eb66b2bd7368e2fef7133a8f4f80,973988556.8
0x1ae35fce5942bcecca5f47d9d34d267658d6ac17,0x32b8bfad45b330b81899df23ff6aac609781ce56,773749669.2
0x32b8bfad45b330b81899df23ff6aac609781ce56,0x1ae35fce5942bcecca5f47d9d34d267658d6ac17,762341804.2
0xa99a76dddbb9678bc33f39919bc76d279c680c89,0x35d0ca92152d1fea18240d6c67c2adfe0cca287c,740119949.4
0x35d0ca92152d1fea18240d6c67c2adfe0cca287c,0xa99a76dddbb9678bc33f39919bc76d279c680c89,724647468.3
0xa854772db43b52d7b456c2b5a40bd41627b316c2,0xc935aaa23734fce35843829d2a39c3920172a0d6,611071881.2
0xc935aaa23734fce35843829d2a39c3920172a0d6,0xa854772db43b52d7b456c2b5a40bd41627b316c2,601887122.9
0xfc95c6e764575c96ca8cd03ee9d64c9e218655a3,0xc803698a4be31f0b9035b6eba17623698f3e2f82,560373203.4
0x7272b039aadebbc309a11bc8ee7e8363df33fabf,0x7cdbc750bdc92fb92e1b94090289cc6db19e30c2,556389299.2
0x7cdbc750bdc92fb92e1b94090289cc6db19e30c2,0x7272b039aadebbc309a11bc8ee7e8363df33fabf,551818593.4
0xc803698a4be31f0b9035b6eba17623698f3e2f82,0xfc95c6e764575c96ca8cd03ee9d64c9e218655a3,517976968.8
0x48ad09ed9a4d3d9b76959f4d53ba0bc138fce336,0x6f124a460e752eddacaa294800908393a3cad980,479945833.1
0x6f124a460e752eddacaa294800908393a3cad980,0x48ad09ed9a4d3d9b76959f4d53ba0bc138fce336,478536756.8
0xb6a684ce14addc0b0daad766424f3e28b49503a5,0x86cd4467b6baef4b0e34b9508d788483f64a4bb9,338043267.7
0x86cd4467b6baef4b0e34b9508d788483f64a4bb9,0xb6a684ce14addc0b0daad766424f3e28b49503a5,323194745.6
0x6165fd87c1bc73a4c44b23934e9136fd92df5b01,0x13fefdd563a930f07b1ac8a2227acc27c3c12946,304709740
0x13fefdd563a930f07b1ac8a2227acc27c3c12946,0x6165fd87c1bc73a4c44b23934e9136fd92df5b01,302332913.5
0x0c9c5d25800dfc0d41d2de4118af27110e95c1e5,0xc525ca2f0691188a9a7b7f75b9c452e7eded4d40,277697866.8
0xc525ca2f0691188a9a7b7f75b9c452e7eded4d40,0x0c9c5d25800dfc0d41d2de4118af27110e95c1e5,276998879.9
0x91a3a407c4e8d07134641cffcf8a55e0059925c7,0xa12c5c80d594e78f7bdef9842aa234b65339bd21,274346085.6
0xa12c5c80d594e78f7bdef9842aa234b65339bd21,0x91a3a407c4e8d07134641cffcf8a55e0059925c7,271311353
0x7101075a76296b60ec2d8571ae2aae301b2caa21,0xcc1aa6d6d0e9e8876b7f41f384a155e0774ae7b6,253069991
0xcc1aa6d6d0e9e8876b7f41f384a155e0774ae7b6,0x7101075a76296b60ec2d8571ae2aae301b2caa21,248684987.5
0x8ce0d9060263b1b5ad3eff2e1e21736b5ef36936,0xea19b97a1523ba7796c3c9075b243e14d3995474,225520049.8
0xea19b97a1523ba7796c3c9075b243e14d3995474,0x8ce0d9060263b1b5ad3eff2e1e21736b5ef36936,224785202.2
0x3e5bde633de8134bcd38365085a7e975228da588,0xadc28e50fa4f57a998accc2da36cc087376e8c84,202970265.4
0xadc28e50fa4f57a998accc2da36cc087376e8c84,0x3e5bde633de8134bcd38365085a7e975228da588,201134449.4
0x0b81c1e1c53ee1eae26d6e504d28872d5d2728ef,0x6165fd87c1bc73a4c44b23934e9136fd92df5b01,197855636.8
0x6165fd87c1bc73a4c44b23934e9136fd92df5b01,0x0b81c1e1c53ee1eae26d6e504d28872d5d2728ef,182590768.4
0x8bdc315628f74a81c9cf61ca5df2e368a7b2e20d,0x8c0b5a9d8d0e4808c3d70340df3bae8f156fb043,157192034
0x8c0b5a9d8d0e4808c3d70340df3bae8f156fb043,0x8bdc315628f74a81c9cf61ca5df2e368a7b2e20d,132543104.7
0x16033a8ebe3803056e40ccb3720f02440b2422b0,0xfd12d178ac2c1854129aaa2428164687f1d14eca,125687999.8
0xfd12d178ac2c1854129aaa2428164687f1d14eca,0x16033a8ebe3803056e40ccb3720f02440b2422b0,123495162.3
0x39175cb35c297dd5a824a451afef571832179f53,0x48ad09ed9a4d3d9b76959f4d53ba0bc138fce336,110957506.9
0x6b34ff96d47e0558fe22bd80c05fdc0133515d19,0x57544b982e6f9afbefb251cc884d25707a8002f8,110244075.2
